"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BATTLEPASS_TASK_INFO_GET_BB_LOOT","Collect 3-Win Rewards <num> times from Builder Base.",احصل على جوائز الفوز الثلاثي <num> من المرات من قاعدة البنّاء.,在建筑大师基地赢取\q第3次获胜奖励\q共计<num>次。,在建築大師基地贏取\q第3次獲勝獎勵\q共計<num>次。,Sammle <num>-mal 3-Siege-Belohnungen in der Bauarbeiterbasis.,Consigue recompensas de 3 victorias <num> veces en la base del constructor.,جوایز 3 بُرد را <num> بار از پایگاه سازنده جمع‌آوری کنید.,Lunasta rakentajan tukikohdan 3:n voiton palkinto <num> kertaa.,Obtenez les récompenses de 3 victoires <num> fois dans la base des ouvriers.,Raih Hadiah 3 Kemenangan di Basis Tukang <num> kali.,Ottieni le ricompense dalle tre vittorie nella base del costruttore <num> volte.,大工の拠点で3勝ボーナスを<num>回獲得する。,장인기지에서\n3승 보상 <num>회 획득,Kumpul ganjaran 3 kemenangan <num> kali dari Pangkalan Pembina.,Behaal <num> keer een drie-overwinningen-bonus in de bouwersbasis.,Hent belønninger for 3 seire <num> ganger fra byggerens base.,Colete recompensas por 3 vitórias <num> vezes na base do construtor.,Получите награду за 3 победы в деревне строителя <num> р.,เก็บรางวัลชนะ 3 รอบจากฐานช่างก่อสร้าง <num> ครั้ง,İnşaatçı Üssünden <num> kez 3 Galibiyet Ödülü kazan.,Thu thập Phần thưởng dành cho 3 Chiến thắng <num> lần từ Căn cứ Thợ xây.
"TID_SAVAGE_KING","Fierce King","الملك المتوحش","猛武蛮王","蠻族之王","Wilder König","Rey salvaje","درنده جنگل","Raaka kuningas","Roi sauvage","Raja Ganas","Re selvaggio","ワイルド キング","야만 킹","Raja Bengis","Woeste koning","Villmannkonge","Rei Bruto","Свирепый король","ราชันอำมหิต","Vahşi Kral","Vua Cuồng nộ"
"TID_EDIT_MODE_MOVE_ALL","Move All","تحريك الكل","整体移动","整體移動","Alles bewegen","Mover todo","جابجایی همه","Siirrä kaikki","Tout déplacer","Pindahkan Semua","Sposta tutto","すべて移動","모두 이동","Alihkan Semua","Alles verplaatsen","Flytt alle","Mover tudo","Сдвинуть\nвсе","ขยับทั้งหมด","Her Şeyi Taşı","Di chuyển\nTất cả"
"TID_CLANGAMES_TASK_WIN_STARS_USING_HEAL_INFO","Win <num>x Multiplayer Battles using <num2> Heal Spells.","اربح <num> من المعارك متعددة اللاعبين باستخدام <num2> من تعاويذ الشفاء.","在联机模式中赢得<num>场战斗，每场战斗需使用<num2>个疗伤法术。","在多人遊戲中贏得<num>場戰鬥，每場戰鬥需使用<num2>個療傷法術。","Gewinne <num>-mal einen Mehrspieler-Kampf und setze dabei <num2> Heilzauber ein.","Gana <num> batallas multijugador usando <num2> hechizos de curación.","<num> نبرد چند نفره را با استفاده از <num2> طلسم‌ شفا ببرید.","Voita <num> moninpelitaistelua käyttämällä <num2> parannusloitsua.","Gagnez un combat multijoueur <num> fois en utilisant <num2> sorts de guérison.","Menangkan <num>x Pertempuran Multipemain menggunakan <num2> Mantra Penyembuh.","Vinci <num> battaglie multigiocatore usando degli incantesimi Guarigione (<num2>).","ヒールの呪文を<num2>回使い、マルチプレイで<num>回勝利する。","멀티플레이 전투에서\n치유 마법(x <num2>)을 사용해\n<num>회 승리","Memenangi <num> pertempuran berbilang pemain menggunakan <num2> Sihir Sembuh.","Win <num> multiplayergevechten met behulp van <num2> genezingsspreuk(en).","Vinn <num> flerspillerkamper ved bruk av tilsvarende helbredelsesformler:<num2>.","Vença <num> batalhas multijogador usando Feitiços de Cura (<num2>).","Победите в многопользовательском режиме <num> р., используя исцеляющее заклинание (<num2>).","ชนะการรบแบบผู้เล่นหลายคน <num> ครั้งโดยใช้อาคมเยียวยา <num2> ครั้ง","<num2> İyileştirme Büyüsü kullanarak <num> Çok Oyunculu Savaş kazan.","Thắng <num>x Trận chiến Nhiều người chơi có sử dụng <num2> Thần chú Hồi máu."
"TID_CLANGAMES_TASK_WIN_STARS_USING_RAGE_INFO","Win <num>x Multiplayer Battles using <num2> Rage Spells.","اربح <num> من المعارك متعددة اللاعبين باستخدام <num2> من تعاويذ الغضب.","在联机模式中赢得<num>场战斗，每场战斗需使用<num2>个狂暴法术。","在多人遊戲中贏得<num>場戰鬥，每場戰鬥需使用<num2>個狂暴法術。","Gewinne <num>-mal einen Mehrspieler-Kampf und setze dabei <num2> Wutzauber ein.","Gana <num> batallas multijugador usando <num2> hechizos de furia.","<num> نبرد چند نفره را با استفاده از <num2> طلسم خشم ببرید.","Voita <num> moninpelitaistelua käyttämällä <num2> raivoloitsua.","Gagnez un combat multijoueur <num> fois en utilisant <num2> sorts de rage.","Menangkan <num>x Pertempuran Multipemain menggunakan <num2> Mantra Amarah.","Vinci <num> battaglie multigiocatore usando degli incantesimi Furia (<num2>).","レイジの呪文を<num2>回使い、マルチプレイで<num>回勝利する。","멀티플레이 전투에서\n분노 마법(x <num2>)을 사용해\n<num>회 승리","Memenangi <num> pertempuran berbilang pemain menggunakan <num2> Sihir Kemarahan.","Win <num> multiplayergevechten met behulp van <num2> woedespreuk(en).","Vinn <num> flerspillerkamper ved bruk av tilsvarende raseriformler <num2>.","Vença <num> batalhas multijogador usando Feitiços de Fúria (<num2>).","Победите в многопользовательском режиме <num> р., используя заклинание ярости (<num2>).","ชนะการรบแบบผู้เล่นหลายคน <num> ครั้งโดยใช้อาคมคลุ้มคลั่ง <num2> ครั้ง","<num2> Öfke Büyüsü kullanarak <num> Çok Oyunculu Savaş kazan.","Thắng <num>x Trận chiến Nhiều người chơi có sử dụng <num2> Thần chú Thịnh nộ."
"TID_CLANGAMES_TASK_WIN_STARS_USING_JUMP_INFO","Win <num>x Multiplayer Battles using <num2> Jump Spells.","اربح <num> من المعارك متعددة اللاعبين باستخدام <num2> من تعاويذ القفز.","在联机模式中赢得<num>场战斗，每场战斗需使用<num2>个弹跳法术。","在多人遊戲中贏得<num>場戰鬥，每場戰鬥需使用<num2>個彈跳法術。","Gewinne <num>-mal einen Mehrspieler-Kampf und setze dabei <num2> Sprungzauber ein.","Gana <num> batallas multijugador usando <num2> hechizos de salto.","<num> نبرد چند نفره را با استفاده از <num2> طلسم پرش ببرید.","Voita <num> moninpelitaistelua käyttämällä <num2> hyppyloitsua.","Gagnez un combat multijoueur <num> fois en utilisant <num2> sorts de saut.","Menangkan <num>x Pertempuran Multipemain menggunakan <num2> Mantra Lompat.","Vinci <num> battaglie multigiocatore usando degli incantesimi Salto (<num2>).","ジャンプの呪文を<num2>回使い、マルチプレイで<num>回勝利する。","멀티플레이 전투에서\n이동 마법(x <num2>)을 사용해\n<num>회 승리","Memenangi <num> pertempuran berbilang pemain menggunakan <num2> Sihir Lompat.","Win <num> multiplayergevechten met behulp van <num2> sprongspreuk(en).","Vinn <num> flerspillerkamper ved bruk av <num2> hoppeformler.","Vença <num> batalhas multijogador usando Feitiços de Salto (<num2>).","Победите в многопользовательском режиме <num> р., используя заклинание прыжка (<num2>).","ชนะการรบแบบผู้เล่นหลายคน <num> ครั้งโดยใช้อาคมกระโดด <num2> ครั้ง","<num2> Atlama Büyüsü kullanarak <num> Çok Oyunculu Savaş kazan.","Thắng <num>x Trận chiến Nhiều người chơi có sử dụng <num2> Thần chú Bật nhảy."
"TID_CLANGAMES_TASK_WIN_STARS_USING_FREEZE_INFO","Win <num>x Multiplayer Battles using <num2> Freeze Spells.","اربح <num> من المعارك متعددة اللاعبين باستخدام <num2> من تعاويذ التجميد.","在联机模式中赢得<num>场战斗，每场战斗需使用<num2>个冰冻法术。","在多人遊戲中贏得<num>場戰鬥，每場戰鬥需使用<num2>個冰凍法術。","Gewinne <num>-mal einen Mehrspieler-Kampf und setze dabei <num2> Frostzauber ein.","Gana <num> batallas multijugador usando <num2> hechizos de hielo.","<num> نبرد چند نفره را با استفاده از <num2> طلسم یخزدگی ببرید.","Voita <num> moninpelitaistelua käyttämällä <num2> jääloitsua.","Gagnez un combat multijoueur <num> fois en utilisant <num2> sorts de gel.","Menangkan <num>x Pertempuran Multipemain menggunakan <num2> Mantra Pembeku.","Vinci <num> battaglie multigiocatore usando degli incantesimi Congelamento (<num2>).","フリーズの呪文を<num2>回使い、マルチプレイで<num>回勝利する。","멀티플레이 전투에서\n얼음 마법(x <num2>)을 사용해\n<num>회 승리","Memenangi <num> pertempuran berbilang pemain menggunakan <num2> Sihir Pembekuan.","Win <num> multiplayergevechten met behulp van <num2> vriesspreuk(en).","Vinn <num> flerspillerkamper ved bruk av tilsvarende fryseformler: <num2>.","Vença <num> batalhas multijogador usando Feitiços de Gelo (<num2>).","Победите в многопользовательском режиме <num> р., используя замораживающее заклинание (<num2>).","ชนะการรบแบบผู้เล่นหลายคน <num> ครั้งโดยใช้อาคมแช่แข็ง <num2> ครั้ง","<num2> Dondurma Büyüsü kullanarak <num> Çok Oyunculu Savaş kazan.","Thắng <num>x Trận chiến Nhiều người chơi có sử dụng <num2> Thần chú Đóng băng."
"TID_CLANGAMES_TASK_WIN_STARS_USING_CLONE_INFO","Win <num>x Multiplayer Battles using <num2> Clone Spells.","اربح <num> من المعارك متعددة اللاعبين باستخدام <num2> من تعاويذ الاستنساخ.","在联机模式中赢得<num>场战斗，每场战斗需使用<num2>个镜像法术。","在多人遊戲中贏得<num>場戰鬥，每場戰鬥需使用<num2>個鏡像法術。","Gewinne <num>-mal einen Mehrspieler-Kampf und setze dabei <num2> Klonzauber ein.","Gana <num> batallas multijugador usando <num2> hechizos clonadores.","<num> نبرد چند نفره را با استفاده از <num2> طلسم شبیه‌سازی ببرید.","Voita <num> moninpelitaistelua käyttämällä <num2> klooniloitsua.","Gagnez un combat multijoueur <num> fois en utilisant <num2> sorts de clonage.","Menangkan <num>x Pertempuran Multipemain menggunakan <num2> Mantra Klona.","Vinci <num> battaglie multigiocatore usando degli incantesimi Clonazione (<num2>).","クローンの呪文を<num2>回使い、マルチプレイで<num>回勝利する。","멀티플레이 전투에서\n복제 마법(x <num2>)을 사용해\n<num>회 승리","Memenangi <num> pertempuran berbilang pemain menggunakan <num2> Sihir Klon.","Win <num> multiplayergevechten met behulp van <num2> kloonspreuk(en).","Vinn <num> flerspillerkamper ved bruk av <num2> kloneformler.","Vença <num> batalhas multijogador usando Feitiços de Clone (<num2>).","Победите в многопользовательском режиме <num> р., используя клонирующее заклинание (<num2>).","ชนะการรบแบบผู้เล่นหลายคน <num> ครั้งโดยใช้อาคมร่างโคลน <num2> ครั้ง","<num2> Klon Büyüsü kullanarak <num> Çok Oyunculu Savaş kazan.","Thắng <num>x Trận chiến Nhiều người chơi có sử dụng <num2> Thần chú Nhân bản."
"TID_CLANGAMES_TASK_WIN_STARS_USING_POISON_INFO","Win <num>x Multiplayer Battles using <num2> Poison Spells.","اربح <num> من المعارك متعددة اللاعبين باستخدام <num2> من تعاويذ السم.","在联机模式中赢得<num>场战斗，每场战斗需使用<num2>个毒药法术。","在多人遊戲中贏得<num>場戰鬥，每場戰鬥需使用<num2>個施毒法術。","Gewinne <num>-mal einen Mehrspieler-Kampf und setze dabei <num2> Giftzauber ein.","Gana <num> batallas multijugador usando <num2> hechizos de veneno.","<num> نبرد چند نفره را با استفاده از <num2> طلسم سمی ببرید.","Voita <num> moninpelitaistelua käyttämällä <num2> myrkkyloitsua.","Gagnez un combat multijoueur <num> fois en utilisant <num2> sorts d'empoisonnement.","Menangkan <num>x Pertempuran Multipemain menggunakan <num2> Mantra Racun.","Vinci <num> battaglie multigiocatore usando degli incantesimi Veleno (<num2>).","ポイズンの呪文を<num2>回使い、マルチプレイで<num>回勝利する。","멀티플레이 전투에서\n독 마법(x <num2>)을 사용해\n<num>회 승리","Memenangi <num> pertempuran berbilang pemain menggunakan <num2> Sihir Racun.","Win <num> multiplayergevechten met behulp van <num2> gifspreuk(en).","Vinn <num> flerspillerkamper ved bruk av <num2> giftformler.","Vença <num> batalhas multijogador usando Feitiços de Veneno (<num2>).","Победите в многопользовательском режиме <num> р., используя ядовитое заклинание (<num2>).","ชนะการรบแบบผู้เล่นหลายคน <num> ครั้งโดยใช้อาคมพิษ <num2> ครั้ง","<num2> Zehir Büyüsü kullanarak <num> Çok Oyunculu Savaş kazan.","Thắng <num>x Trận chiến Nhiều người chơi có sử dụng <num2> Thần chú Độc dược."
